'序号', '图片名称', '录入时间', '识别结果', '目标数目', '用时', '保存路径'
1, 'E:/代码/data/yolo/yolo/test/images/test/ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg', '2025-05-17 10:48:17', [['ridderzuring', 0.77, [483.0966796875, 136.58441162109375, 635.10009765625, 351.6665954589844]]], 1, '0.26s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg'
2, 'E:/代码/data/yolo/yolo/val/images/val/屏幕截图 2025-05-16 172615.png', '2025-05-17 10:53:45', [], 0, '0.2s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\屏幕截图 2025-05-16 172615.png'
3, 'E:/代码/data/yolo/yolo/val/images/val/屏幕截图 2025-05-16 172615.png', '2025-05-17 10:53:47', [], 0, '0.11s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\屏幕截图 2025-05-16 172615.png'
4, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:00:16', [], 0, '0.21s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
5, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:00:52', [], 0, '0.15s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
6, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:00:53', [], 0, '0.14s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
7, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:00:55', [], 0, '0.14s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
8, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:00:56', [], 0, '0.14s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
9, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:00:57', [], 0, '0.15s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
10, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:32', [], 0, '0.4s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
11, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:33', [], 0, '0.27s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
12, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:34', [], 0, '0.34s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
13, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:35', [], 0, '0.34s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
14, 'E:/代码/data/yolo/yolo/test/images/test/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:52', [], 0, '4.18s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
15, 'E:/代码/data/yolo/yolo/test/images/test/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:54', [], 0, '1.72s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
16, 'E:/代码/data/yolo/yolo/test/images/test/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:55', [], 0, '1.21s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
17, 'E:/代码/data/yolo/yolo/test/images/test/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:56', [], 0, '0.61s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
18, 'E:/代码/data/yolo/yolo/test/images/test/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:11:56', [], 0, '0.47s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
19, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:32', [], 0, '1.28s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
20, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:33', [], 0, '0.74s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
21, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:33', [], 0, '0.64s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
22, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:34', [], 0, '0.4s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
23, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:34', [], 0, '0.42s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
24, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:35', [], 0, '0.44s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
25, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:35', [], 0, '0.47s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
26, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:36', [], 0, '0.5s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
27, 'E:/代码/data/yolo/yolo/val/images/val/de6cba1336ac65846b23417a369f7ab8.jpg', '2025-05-17 11:12:36', [], 0, '0.43s', 'E:\\代码\\code24_yolov5\\output\\2025_05_17_10_44_22\\img_result\\de6cba1336ac65846b23417a369f7ab8.jpg'
