                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0252,                 3.4787,                 4.2148,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070028,              0.0033302,              0.0033302
                      2,                    2.7,                 2.5128,                 3.3368,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039699,              0.0063337,              0.0063337
                      3,                 2.3383,                  2.137,                 2.7636,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0090388,              0.0090071,              0.0090071
                      4,                 2.0851,                 1.7758,                 2.4691,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                      5,                 1.9652,                 1.5272,                 2.3425,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                      6,                 1.9046,                 1.4412,                 2.2933,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                      7,                 1.8747,                 1.3868,                 2.2429,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                      8,                 1.8448,                 1.3582,                  2.186,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                      9,                 1.7989,                 1.3297,                  2.135,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     10,                   1.77,                 1.2988,                  2.114,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     11,                 1.7578,                 1.2675,                 2.0878,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     12,                 1.7487,                 1.2843,                 2.0666,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     13,                 1.7333,                 1.2361,                 2.0438,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     14,                 1.7011,                 1.2125,                 2.0172,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     15,                 1.6757,                 1.1969,                 2.0017,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     16,                 1.6527,                 1.1995,                 1.9835,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     17,                 1.6471,                 1.1837,                 1.9695,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     18,                 1.6266,                 1.1418,                 1.9524,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     19,                 1.6082,                 1.1406,                 1.9377,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     20,                 1.5803,                 1.1273,                 1.9195,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
