                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0844,                 3.4883,                 4.1628,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070028,              0.0033302,              0.0033302
                      2,                  2.695,                 2.4005,                 3.2649,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039996,              0.0066305,              0.0066305
                      3,                 2.3456,                  2.143,                  2.777,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0099295,              0.0098979,              0.0098979
                      4,                  2.088,                 1.7921,                 2.5389,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9805,                 1.5559,                 2.4036,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      6,                 1.9203,                 1.4468,                   2.34,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8793,                 1.3903,                 2.2774,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      8,                 1.8627,                 1.3711,                 2.2461,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8195,                 1.3744,                 2.2079,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     10,                 1.8013,                 1.3454,                 2.1907,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7993,                 1.3052,                 2.1656,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     12,                 1.7864,                 1.3138,                  2.151,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7596,                 1.2537,                 2.1361,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     14,                 1.7452,                 1.2456,                 2.1138,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7259,                 1.2606,                  2.078,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     16,                 1.7172,                  1.236,                 2.0878,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7009,                 1.2435,                 2.0623,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
