                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1983,                 3.7154,                 4.1869,                0.00016,                0.00434,                0.00017,                  2e-05,                 2.9589,                 4.0865,                 3.9265,               0.070227,              0.0033081,              0.0033081
                      2,                 2.9404,                 2.5871,                 3.5037,                 0.2142,                0.23201,                0.13442,                0.03937,                 2.7973,                 2.7901,                 3.5032,               0.040194,              0.0066085,              0.0066085
                      3,                 2.4821,                 2.1197,                 2.8178,                0.41607,                0.26301,                0.24533,                0.08963,                 2.3724,                 8.2892,                 2.6098,               0.010129,               0.009876,               0.009876
                      4,                 2.1778,                 1.7783,                 2.4147,                0.47144,                0.62139,                0.48703,                0.18428,                 2.1743,                  5.649,                  2.573,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0353,                 1.6061,                   2.24,                0.67041,                0.65896,                0.67489,                0.28901,                 2.0188,                 2.2085,                 2.2954,               0.009802,               0.009802,               0.009802
                      6,                  1.961,                  1.501,                 2.1411,                0.68616,                0.55291,                0.62324,                0.28621,                 1.9984,                 1.5462,                 2.1992,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9278,                 1.4503,                 2.1188,                0.63456,                 0.6922,                0.60777,                0.27759,                 1.9448,                 1.4002,                 2.1543,               0.009703,               0.009703,               0.009703
                      8,                 1.9128,                 1.3916,                  2.083,                0.66253,                0.71965,                0.66964,                0.32335,                 1.7768,                 1.6001,                 2.0081,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.882,                 1.3777,                 2.0574,                0.78043,                0.67919,                 0.7293,                0.35476,                 1.8474,                 1.2238,                 2.0232,               0.009604,               0.009604,               0.009604
                     10,                 1.8794,                 1.3931,                 2.0446,                0.74369,                0.70023,                 0.7289,                0.34469,                 1.8382,                 1.2697,                 1.9909,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8589,                 1.3454,                  2.031,                 0.7202,                0.72832,                0.71759,                  0.331,                 1.8465,                 1.3409,                 2.0049,               0.009505,               0.009505,               0.009505
                     12,                 1.8339,                 1.3196,                 2.0014,                0.76505,                0.68229,                0.74004,                0.37165,                 1.7335,                 1.2413,                 1.9206,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8473,                 1.3408,                 2.0115,                0.76233,                0.66185,                0.74567,                0.36451,                 1.8027,                 1.2378,                 1.9573,               0.009406,               0.009406,               0.009406
                     14,                 1.8261,                 1.3467,                 1.9931,                0.74131,                0.68208,                0.72395,                0.34902,                 1.8025,                 1.2817,                 1.9464,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8197,                 1.3308,                 1.9756,                0.75983,                0.64306,                 0.7246,                0.37215,                 1.7246,                 1.2579,                 1.9061,               0.009307,               0.009307,               0.009307
                     16,                 1.8259,                 1.3149,                  1.977,                 0.7739,                0.70231,                0.75856,                0.38324,                 1.7231,                  1.219,                 1.9102,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.8129,                 1.2991,                 1.9698,                 0.7485,                0.70954,                0.74934,                0.38271,                 1.6769,                 1.2194,                 1.8683,               0.009208,               0.009208,               0.009208
                     18,                 1.7932,                 1.2895,                  1.948,                 0.7581,                0.66574,                0.74171,                0.36903,                  1.765,                  1.229,                 1.8845,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.8004,                  1.299,                 1.9603,                0.73582,                0.74277,                0.76189,                0.37449,                 1.7309,                 1.1664,                 1.8871,               0.009109,               0.009109,               0.009109
                     20,                 1.7937,                 1.2783,                  1.948,                0.75178,                0.68642,                 0.7552,                0.36394,                 1.7664,                 1.2125,                 1.9082,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7805,                 1.2996,                 1.9392,                0.79647,                0.67293,                0.77048,                0.38111,                  1.751,                 1.1457,                 1.8739,                0.00901,                0.00901,                0.00901
                     22,                 1.7872,                 1.2606,                 1.9244,                0.77919,                0.70376,                0.76671,                0.37173,                  1.757,                 1.1241,                 1.8585,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.7857,                 1.2777,                 1.9292,                0.78248,                0.70177,                0.76443,                 0.3972,                 1.7153,                 1.1347,                 1.8352,               0.008911,               0.008911,               0.008911
                     24,                 1.7675,                 1.2471,                 1.9062,                0.73493,                0.71719,                0.76083,                0.39306,                 1.6692,                 1.1537,                 1.8263,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.7424,                 1.2497,                 1.9021,                0.77473,                0.70809,                0.76705,                0.39584,                 1.6737,                 1.1067,                 1.8132,               0.008812,               0.008812,               0.008812
                     26,                 1.7721,                 1.2513,                 1.9046,                0.78219,                0.63006,                0.72354,                0.37234,                 1.7312,                 1.2491,                 1.8628,              0.0087625,              0.0087625,              0.0087625
                     27,                  1.763,                 1.2714,                 1.8881,                0.79979,                0.68697,                0.76413,                 0.4005,                 1.6539,                 1.1169,                 1.8114,               0.008713,               0.008713,               0.008713
                     28,                 1.7504,                 1.2564,                 1.9022,                0.77948,                0.70954,                0.78236,                0.40175,                 1.6455,                 1.0937,                 1.7962,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.7484,                 1.2554,                 1.8835,                0.76465,                0.72832,                0.78335,                0.40199,                 1.6609,                 1.1322,                 1.8254,               0.008614,               0.008614,               0.008614
                     30,                 1.7275,                 1.2197,                 1.8644,                0.75667,                0.69509,                 0.7518,                0.38368,                  1.674,                 1.1614,                 1.8283,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.7362,                 1.2217,                 1.8699,                0.74928,                0.72399,                 0.7751,                0.40221,                 1.6521,                 1.0995,                  1.781,               0.008515,               0.008515,               0.008515
                     32,                  1.726,                  1.222,                 1.8625,                0.76137,                0.70083,                0.77775,                0.36305,                 1.8189,                 1.1531,                 1.8878,              0.0084655,              0.0084655,              0.0084655
