                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2173,                 3.7592,                 4.1935,                0.00017,                0.00434,                0.00014,                  5e-05,                 2.9729,                 4.0918,                 3.9607,               0.070227,              0.0033081,              0.0033081
                      2,                 2.9377,                 2.5717,                 3.4684,                0.18047,                0.31936,                0.14062,                0.04677,                 2.8243,                 7.3183,                 3.9021,               0.040194,              0.0066085,              0.0066085
                      3,                 2.5333,                 2.0992,                 2.8852,                0.59096,                0.58526,                0.56005,                0.21937,                 2.2032,                 2.0133,                 2.6294,               0.010129,               0.009876,               0.009876
                      4,                 2.1868,                 1.8021,                 2.5148,                0.53335,                0.51301,                0.51638,                0.21022,                 2.0936,                 6.4917,                  2.641,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0465,                 1.6245,                 2.3374,                0.71194,                0.62139,                0.66012,                0.29229,                 2.0388,                 1.6209,                 2.2949,               0.009802,               0.009802,               0.009802
                      6,                 1.9747,                 1.5036,                 2.2316,                0.68382,                0.70665,                 0.6792,                0.30588,                 1.9635,                  2.044,                 2.2689,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9358,                 1.4449,                 2.1801,                0.66486,                0.69364,                0.65258,                0.29797,                  1.906,                   1.39,                 2.1878,               0.009703,               0.009703,               0.009703
                      8,                 1.9066,                 1.3957,                 2.1327,                 0.6879,                0.74214,                 0.7312,                0.35632,                 1.7591,                 1.4915,                 2.0278,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8874,                  1.376,                 2.0976,                 0.7171,                0.71429,                0.71731,                0.32722,                 1.9386,                 1.2376,                 2.1385,               0.009604,               0.009604,               0.009604
                     10,                 1.8766,                 1.3927,                 2.0904,                0.76688,                0.67052,                0.73547,                0.36055,                 1.8212,                 1.2458,                 2.0046,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8642,                 1.3413,                 2.0726,                0.73888,                0.70376,                0.72378,                0.33343,                 1.8752,                 1.2435,                 2.0593,               0.009505,               0.009505,               0.009505
                     12,                 1.8337,                 1.3098,                 2.0296,                0.74164,                0.66787,                0.72231,                0.35527,                 1.8239,                 1.2418,                 2.0118,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8497,                 1.3227,                 2.0387,                0.73905,                0.68786,                0.73589,                0.35764,                 1.8237,                 1.2757,                 2.0276,               0.009406,               0.009406,               0.009406
                     14,                 1.8264,                   1.33,                 2.0272,                0.73954,                0.71821,                0.75104,                 0.3714,                 1.7551,                 1.3114,                 1.9454,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8149,                 1.3304,                 2.0028,                0.76673,                0.68786,                0.74784,                0.37389,                 1.7199,                 1.2639,                 1.9252,               0.009307,               0.009307,               0.009307
                     16,                 1.8206,                 1.3118,                 1.9958,                0.77825,                0.67961,                0.75576,                0.36042,                 1.7827,                  1.269,                 1.9807,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.8107,                 1.3111,                 1.9933,                0.72762,                0.72575,                0.76604,                0.39155,                 1.6923,                 1.2095,                 1.8947,               0.009208,               0.009208,               0.009208
                     18,                  1.801,                 1.3078,                 1.9808,                0.73967,                0.68568,                0.75039,                 0.3603,                 1.7682,                 1.2435,                 1.9334,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.8057,                 1.3089,                  1.993,                0.74489,                0.70466,                0.75989,                0.37996,                 1.6874,                 1.1997,                 1.9218,               0.009109,               0.009109,               0.009109
                     20,                 1.7887,                 1.3007,                 1.9798,                0.77025,                0.68353,                0.76184,                0.37632,                 1.7371,                  1.185,                 1.9367,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.781,                 1.3004,                 1.9813,                0.73297,                0.71243,                0.76204,                0.36507,                 1.7866,                 1.1767,                 1.9461,                0.00901,                0.00901,                0.00901
                     22,                 1.7871,                 1.2816,                 1.9734,                0.74468,                0.71676,                0.75879,                0.37734,                 1.7493,                  1.126,                   1.89,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.7828,                 1.2825,                 1.9663,                0.77078,                0.70954,                0.76882,                0.38628,                 1.7397,                 1.1669,                 1.9098,               0.008911,               0.008911,               0.008911
                     24,                 1.7666,                 1.2649,                 1.9557,                0.73543,                0.70665,                0.76074,                0.39582,                 1.6573,                 1.1688,                 1.8642,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.7547,                 1.2585,                 1.9498,                0.75582,                0.69333,                0.75276,                0.38853,                 1.7041,                 1.1617,                 1.8749,               0.008812,               0.008812,               0.008812
                     26,                 1.7646,                 1.2632,                 1.9367,                0.77694,                0.69798,                0.76725,                0.39723,                 1.6799,                 1.1256,                 1.8634,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.7636,                 1.2771,                 1.9331,                0.78502,                  0.686,                0.76742,                0.40277,                  1.606,                 1.1475,                 1.7959,               0.008713,               0.008713,               0.008713
                     28,                 1.7429,                 1.2693,                  1.933,                0.73742,                0.69509,                0.74871,                0.39121,                 1.6579,                 1.1426,                 1.8612,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.7445,                 1.2691,                 1.9238,                0.76752,                0.69509,                0.77617,                0.40104,                 1.6436,                 1.1491,                 1.8525,               0.008614,               0.008614,               0.008614
                     30,                 1.7215,                 1.2299,                 1.9045,                0.76309,                 0.6982,                0.76712,                0.38323,                  1.698,                 1.1922,                 1.8881,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.7369,                 1.2469,                 1.9246,                0.76332,                0.71098,                0.78185,                0.40707,                 1.6492,                 1.1232,                 1.8238,               0.008515,               0.008515,               0.008515
                     32,                 1.7238,                 1.2329,                 1.8925,                 0.7395,                0.70665,                 0.7652,                0.37121,                 1.7666,                 1.1614,                 1.8854,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.7273,                  1.229,                 1.9038,                0.75636,                0.74566,                0.77966,                0.39891,                 1.6756,                 1.0993,                 1.8426,               0.008416,               0.008416,               0.008416
                     34,                 1.7046,                 1.2413,                  1.893,                0.74788,                0.72873,                0.76542,                0.38673,                 1.7032,                 1.1543,                  1.868,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.7303,                 1.2526,                 1.9036,                0.78332,                0.72094,                0.77487,                0.40174,                 1.6795,                 1.1066,                 1.8667,               0.008317,               0.008317,               0.008317
                     36,                 1.7286,                 1.2508,                  1.906,                0.77793,                0.70665,                0.77146,                0.39885,                 1.7278,                 1.1074,                 1.8684,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.7105,                 1.2063,                 1.8896,                0.75948,                0.72688,                0.78186,                0.39829,                 1.6939,                 1.1242,                  1.839,               0.008218,               0.008218,               0.008218
                     38,                 1.7064,                  1.208,                 1.8877,                0.76783,                0.72166,                0.77631,                0.39666,                 1.6737,                 1.0999,                  1.832,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.688,                 1.2079,                 1.8813,                0.77706,                0.68501,                0.76704,                 0.3976,                 1.7098,                 1.0879,                 1.8565,               0.008119,               0.008119,               0.008119
                     40,                 1.7033,                 1.2032,                 1.8776,                0.76253,                0.72388,                0.78055,                0.40231,                  1.667,                 1.0962,                 1.8259,              0.0080695,              0.0080695,              0.0080695
